"PRODUCTO"|"ID_CLIENTE"|"CONTRATO"|"PLAZO"|"Periodicidad"|"Comisiones"|"RENTA"|"RENTAS"|"Valor Residual"|"MONTO_INICIAL_ACTIVO_S_IVA"|"TABLA AMOTIZACIÓN"|"FECHA INICIO"|"FECHA_DE_TERMINACION"|"Reestructurado"|"Tipo de Reestrucutra"|"Region"|"Moneda"
"11"|"Arrendamiento"|112|4350|36|"Mensual"|9491.35014208255|14337.5294179061|17175512.16|88362.0689655172|18063813.2240853|"Tabla Amort"|2015-01-01 00:00:00|2018-01-01|"No"|NA|"CDMX"|"MXN"
"12"|"Arrendamiento"|112|4352|32|"Mensual"|18755.902488044|12831.2386951479|15267121.92|88362.0689655172|15355938.3664204|"Tabla Amort"|2015-01-01 00:00:00|2018-01-01|"No"|NA|"CDMX"|"MXN"
"13"|"Arrendamiento"|112|4353|32|"Mensual"|7237.96661727937|11683.3084832641|15267121.92|88362.0689655172|19505481.3205747|"Tabla Amort"|2015-01-01 00:00:00|2018-01-01|"No"|NA|"CDMX"|"MXN"
"14"|"Arrendamiento"|115|4359|54|"Mensual"|21777.512137617|24786.6680933166|65181672|101312.586206897|73016929.4065307|"Tabla Amort"|2015-01-01 00:00:00|2019-01-01|"No"|NA|"QUINTANA ROO"|"MXN"
"15"|"Arrendamiento"|114|4365|32|"Mensual"|5408.90363515452|7772.50319809742|7449903.36|42921.9827586207|8764780.98743692|"Tabla Amort"|2015-01-01 00:00:00|2018-01-01|"No"|NA|"CDMX"|"MXN"
"16"|"Arrendamiento"|114|4370|37|"Mensual"|8122.79936338332|6796.52253020094|11729365.56|57235.3448275862|11803674.7434208|"Tabla Amort"|2015-01-01 00:00:00|2018-01-01|"No"|NA|"CDMX"|"MXN"
"17"|"Arrendamiento"|104|4330|33|"Mensual"|12727.5039133623|8486.74691211212|8414960.4|67742.025862069|8471338.15820746|"Tabla Amort"|2015-01-05 13:53:00|2018-01-01|"No"|NA|"CDMX"|"MXN"
"18"|"Arrendamiento"|117|4426|37|"Mensual"|8491.23786900848|7908.26477265266|14143895.28|69107.4137931035|16351668.8921714|"Tabla Amort"|2015-01-16 00:00:00|2018-01-16|"No"|NA|"CDMX"|"MXN"
"19"|"Arrendamiento"|115|4407|44|"Mensual"|68019.2114087087|36984.3751993902|110002738.56|316222.24137931|142038483.707161|"Tabla Amort"|2015-01-16 14:28:00|2019-01-16|"No"|NA|"QUINTANA ROO"|"MXN"
"20"|"Arrendamiento"|337|4416|53|"Mensual"|2882.50592047162|3881.38061038893|9522764.4|21310.3448275862|10951572.7068064|"Tabla Amort"|2015-01-23 15:37:00|2020-02-01|"No"|NA|"CDMX"|"MXN"
"21"|"Arrendamiento"|118|4454|36|"Mensual"|39217.526546167|100161.47056801|108175072.32|62732.25|140370869.380228|"Tabla Amort"|2015-01-30 09:25:00|2018-02-01|"No"|NA|"ESTADO DE MEXICO"|"MXN"
"22"|"Arrendamiento"|27|4432|5|"Mensual"|0|18073.5421124394|451439.4|21017.224137931|550027.1351991|"Tabla Amort"|2015-01-30 15:50:00|2015-08-01|"No"|NA|"TAMAULIPAS"|"MXN"
"23"|"Arrendamiento"|27|4439|7|"Mensual"|0|12041.3579778812|632015.16|21017.224137931|669813.567698287|"Tabla Amort"|2015-01-30 15:50:00|2015-08-01|"No"|NA|"TAMAULIPAS"|"MXN"
"24"|"Arrendamiento"|27|4440|6|"Mensual"|0|14945.1807837167|541727.28|21017.224137931|667282.154163175|"Tabla Amort"|2015-01-30 15:50:00|2015-08-01|"No"|NA|"TAMAULIPAS"|"MXN"
"25"|"Arrendamiento"|27|4441|6|"Mensual"|0|18415.3176725562|541727.28|21017.224137931|680517.434838674|"Tabla Amort"|2015-01-30 15:50:00|2015-08-01|"No"|NA|"TAMAULIPAS"|"MXN"
"26"|"Arrendamiento"|27|4442|7|"Mensual"|0|17324.8797249512|632015.16|21017.224137931|745878.845333622|"Tabla Amort"|2015-01-30 15:51:00|2015-08-01|"No"|NA|"TAMAULIPAS"|"MXN"
"27"|"Arrendamiento"|27|4443|7|"Mensual"|0|19535.4473109385|632015.16|21017.224137931|722322.62636937|"Tabla Amort"|2015-01-30 16:36:00|2015-08-01|"No"|NA|"TAMAULIPAS"|"MXN"
"28"|"Arrendamiento"|39|4464|30|"Mensual"|14434.90064464|8361.8758525881|11502302.4|74610.5603448276|13286951.0985646|"Tabla Amort"|2015-02-01 00:00:00|2018-02-01|"No"|NA|"ESTADO DE MEXICO"|"MXN"
"29"|"Arrendamiento"|119|4356|35|"Mensual"|16742.041474767|14971.4642927922|26486523|77198.275862069|29026762.0265408|"Tabla Amort"|2015-02-01 00:00:00|2018-02-01|"No"|NA|"QUERETARO"|"MXN"
"30"|"Arrendamiento"|112|4467|35|"Mensual"|10867.7717476903|9843.82557422779|12373439.4|63987.0689655172|13107842.6348824|"Tabla Amort"|2015-02-01 00:00:00|2018-02-01|"No"|NA|"CDMX"|"MXN"
"31"|"Arrendamiento"|112|4469|42|"Mensual"|14378.8857399247|11625.2288018122|14848127.28|63987.0689655172|15123621.9654979|"Tabla Amort"|2015-02-01 00:00:00|2018-02-01|"No"|NA|"CDMX"|"MXN"
"32"|"Arrendamiento"|20|4427|50|"Mensual"|11397.4536058174|10804.1017204852|25113984|112516.379310345|25351433.9407608|"Tabla Amort"|2015-02-03 17:04:00|2019-02-01|"No"|NA|"CDMX"|"MXN"
"33"|"Arrendamiento"|120|4390|16|"Mensual"|3225.57056307035|9041.61450675871|3195633.6|0|3263335.90094315|"Tabla Amort"|2015-02-09 17:43:00|2016-08-01|"No"|NA|"CDMX"|"MXN"
"34"|"Arrendamiento"|60|4207|57|"Mensual"|0|37472.5352348994|86420144.16|158331.301724138|93047682.3826312|"Tabla Amort"|2015-02-16 00:00:00|2019-02-16|"No"|NA|"CDMX"|"MXN"
"35"|"Arrendamiento"|60|4209|39|"Mensual"|0|38705.2546430152|41836827.24|152967.801724138|43946003.956328|"Tabla Amort"|2015-02-16 00:00:00|2018-02-16|"No"|NA|"CDMX"|"MXN"
"36"|"Arrendamiento"|60|4210|33|"Mensual"|0|21010.9958703313|35400392.28|152967.801724138|42219422.5820296|"Tabla Amort"|2015-02-16 00:00:00|2018-02-16|"No"|NA|"CDMX"|"MXN"
"37"|"Arrendamiento"|122|4380|12|"Mensual"|0|45130.6069880857|5798819.52|107741.379310345|7471084.24752211|"Tabla Amort"|2015-02-16 00:00:00|2016-02-16|"No"|NA|"NUEVO LEON"|"MXN"
"38"|"Arrendamiento"|121|4623|43|"Mensual"|22269.6769939714|30029.3267709144|78663436.32|206896.551724138|96895431.0388144|"Tabla Amort"|2015-02-20 15:43:00|2019-03-01|"No"|NA|"CDMX"|"MXN"
"39"|"Arrendamiento"|121|4624|43|"Mensual"|27197.4855870688|41287.0051556611|100705821.12|268001.25|114706069.574427|"Tabla Amort"|2015-02-20 15:43:00|2019-03-01|"No"|NA|"CDMX"|"MXN"
"40"|"Arrendamiento"|121|4627|50|"Mensual"|9866.80059444543|16096.7869394189|32439216|78760|33292175.4556076|"Tabla Amort"|2015-02-20 15:43:00|2019-03-01|"No"|NA|"CDMX"|"MXN"
"41"|"Arrendamiento"|41|4651|37|"Mensual"|57211.2782327458|87297.2191830372|123815034.36|125000|149673150.694274|"Tabla Amort"|2015-02-20 17:11:00|2018-03-01|"No"|NA|"QUINTANA ROO"|"MXN"
"42"|"Arrendamiento"|112|4642|40|"Mensual"|3032.67886416747|6048.91127217062|8902569.6|4872.80172413793|11438474.6701682|"Tabla Amort"|2015-02-24 11:19:00|2018-03-01|"No"|NA|"CDMX"|"MXN"
"43"|"Arrendamiento"|112|4643|41|"Mensual"|55163.4234514442|61892.6296091464|75550063.68|42556.2413793103|86637833.178167|"Tabla Amort"|2015-02-24 11:19:00|2018-03-01|"No"|NA|"CDMX"|"MXN"
"44"|"Arrendamiento"|112|4644|33|"Mensual"|8820.36085565537|9692.73766722484|11642673.24|7724.34482758621|13499779.5356199|"Tabla Amort"|2015-02-24 11:20:00|2018-03-01|"No"|NA|"CDMX"|"MXN"
"45"|"Arrendamiento"|27|4435|34|"Mensual"|9512.6487996201|20893.1615230181|24908975.28|142241.379310345|31351748.3906013|"Tabla Amort"|2015-02-26 14:15:00|2018-03-01|"No"|NA|"TAMAULIPAS"|"MXN"
"46"|"Arrendamiento"|27|4619|46|"Mensual"|44823.3500891694|32944.411412195|65859384.96|135553.75|83672679.8084533|"Tabla Amort"|2015-02-26 14:16:00|2019-03-01|"No"|NA|"TAMAULIPAS"|"MXN"
"47"|"Arrendamiento"|27|4686|46|"Mensual"|19083.2417498951|27596.6456439125|65859384.96|135553.75|72501356.0016037|"Tabla Amort"|2015-02-26 14:16:00|2019-03-01|"No"|NA|"TAMAULIPAS"|"MXN"
"48"|"Arrendamiento"|22|4617|29|"Mensual"|5861.12129262823|8469.21255575203|7636995.72|49317.525862069|7983653.50904746|"Tabla Amort"|2015-02-27 09:32:00|2018-03-01|"No"|NA|"CDMX"|"MXN"
"49"|"Arrendamiento"|124|4690|42|"Mensual"|61733.6394822908|70354.3875669888|129032825.04|64147.6810344828|166616551.657379|"Tabla Amort"|2015-02-27 12:38:00|2018-03-01|"No"|NA|"ESTADO DE MEXICO"|"MXN"
"50"|"Arrendamiento"|103|4638|36|"Mensual"|9321.97932556317|4137.51449177684|7647825.6|38689.6551724138|9675768.12138197|"Tabla Amort"|2015-02-27 16:51:00|2018-03-01|"No"|NA|"CDMX"|"MXN"
"51"|"Arrendamiento"|103|4714|41|"Mensual"|5481.99789512702|3393.80879279485|7032756.24|31427.8017241379|7361659.72868351|"Tabla Amort"|2015-02-27 16:51:00|2018-03-01|"No"|NA|"CDMX"|"MXN"
"52"|"Arrendamiento"|85|4789|40|"Mensual"|10597.340782809|16592.0807136303|26912524.8|44895.9482758621|27465759.5894548|"Tabla Amort"|2015-03-01 00:00:00|2019-03-01|"No"|NA|"CAMPECHE"|"MXN"
"53"|"Arrendamiento"|85|4791|41|"Mensual"|7254.32467252329|10149.5889372953|22059233.28|35784.4827586207|23167177.8242756|"Tabla Amort"|2015-03-01 00:00:00|2019-03-01|"No"|NA|"CAMPECHE"|"MXN"
"54"|"Arrendamiento"|85|4793|49|"Mensual"|7477.42412601616|13286.8504164536|26977510.56|36655.1724137931|35053961.5843916|"Tabla Amort"|2015-03-01 00:00:00|2019-03-01|"No"|NA|"CAMPECHE"|"MXN"
"55"|"Arrendamiento"|85|4794|42|"Mensual"|11278.3957203619|9610.92484019532|22633752.96|35844.8275862069|23551398.5531244|"Tabla Amort"|2015-03-01 00:00:00|2019-03-01|"No"|NA|"CAMPECHE"|"MXN"
"56"|"Arrendamiento"|22|4575|32|"Mensual"|0|5934.80849255939|7450882.56|69824.5689655172|8595501.44794677|"Tabla Amort"|2015-03-01 00:00:00|2018-03-01|"No"|NA|"CDMX"|"MXN"
"57"|"Arrendamiento"|39|4465|37|"Mensual"|14072.4738612437|8407.45129438372|14186172.96|74610.5603448276|17985619.4880752|"Tabla Amort"|2015-03-01 00:00:00|2018-03-01|"No"|NA|"ESTADO DE MEXICO"|"MXN"
"58"|"Arrendamiento"|116|4222|64|"Mensual"|159435.240815459|154994.62274709|823369881.6|807793.103448276|825906841.952391|"Tabla Amort"|2015-03-01 00:00:00|2020-03-01|"No"|NA|"ESTADO DE MEXICO"|"MXN"
"59"|"Arrendamiento"|123|4594|35|"Mensual"|17409.2658219367|12896.3046660276|17006358.6|92672.4137931034|17115394.2749431|"Tabla Amort"|2015-03-01 00:00:00|2018-03-01|"No"|NA|"CDMX"|"MXN"
"60"|"Arrendamiento"|83|4719|10|"Mensual"|116544.379582011|149872.734124382|24073824|2925000|29406468.7712645|"Tabla Amort"|2015-03-04 19:13:00|2016-03-16|"No"|NA|"CDMX"|"MXN"
"61"|"Arrendamiento"|125|4715|31|"Mensual"|17354.193947228|24419.2795584939|22962135.24|146315.301724138|27896653.3454951|"Tabla Amort"|2015-03-05 12:16:00|2018-03-16|"No"|NA|"CDMX"|"MXN"
"62"|"Arrendamiento"|60|4647|35|"Mensual"|13937.1791656309|14452.402015845|19433118.6|103593.75|20801574.7793345|"Tabla Amort"|2015-03-11 13:51:00|2018-03-01|"No"|NA|"CDMX"|"MXN"
"63"|"Arrendamiento"|115|4733|50|"Mensual"|15898.9459060702|10971.5625965639|27443904|35508.6206896552|29545652.1650288|"Tabla Amort"|2015-03-11 18:32:00|2019-03-01|"No"|NA|"QUINTANA ROO"|"MXN"
"64"|"Arrendamiento"|115|4732|43|"Mensual"|12516.5550741164|8826.25158111073|23601757.44|35508.6206896552|23872265.3271365|"Tabla Amort"|2015-03-11 18:33:00|2019-03-01|"No"|NA|"QUINTANA ROO"|"MXN"
"65"|"Arrendamiento"|126|4631|31|"Mensual"|10332.0348046683|5699.67888541073|8931571.2|50646.5517241379|9401427.36982572|"Tabla Amort"|2015-03-16 00:00:00|2018-03-16|"No"|NA|"CDMX"|"MXN"
"66"|"Arrendamiento"|88|4710|43|"Mensual"|6912.89322416576|10906.0332779961|13325013.72|6525|14756551.5214864|"Tabla Amort"|2015-03-16 00:00:00|2018-03-16|"No"|NA|"ESTADO DE MEXICO"|"MXN"
"67"|"Arrendamiento"|101|4832|33|"Mensual"|0|9683.47718318254|15594341.4|85479.525862069|17929973.2907218|"Tabla Amort"|2015-03-26 10:13:00|2018-04-01|"No"|NA|"CDMX"|"MXN"
"68"|"Arrendamiento"|127|4823|40|"Mensual"|9467.62794430513|11191.4529517103|14124124.8|62500|15091357.9312022|"Tabla Amort"|2015-03-26 16:31:00|2018-03-16|"No"|NA|"CDMX"|"MXN"
"69"|"Arrendamiento"|112|4926|21|"Mensual"|18101.6847677559|20103.6299084828|10617284.16|12063.2586206897|12878998.8091829|"Tabla Amort"|2015-03-31 15:45:00|2017-04-01|"No"|NA|"CDMX"|"MXN"
"70"|"Arrendamiento"|127|4924|42|"Mensual"|30621.755922816|28616.5971369233|40053318.48|20111.5775862069|40636030.0292791|"Tabla Amort"|2015-03-31 15:46:00|2018-04-01|"No"|NA|"CDMX"|"MXN"
"71"|"Arrendamiento"|83|4961|11|"Mensual"|0|191256.198846478|32190447.96|3561271.00862069|39744416.6318105|"Tabla Amort"|2015-03-31 17:26:00|2016-04-01|"No"|NA|"CDMX"|"MXN"
"72"|"Arrendamiento"|65|4972|20|"Mensual"|30863.8570723736|42489.5547219479|16723267.2|33362.5862068966|21670680.2550047|"Tabla Amort"|2015-04-01 00:00:00|2017-04-01|"No"|NA|"COAHUILA"|"MXN"
"73"|"Arrendamiento"|128|4861|55|"Mensual"|26036.6144162676|15195.6312770429|50938747.2|50373.1896551724|63959284.9434399|"Tabla Amort"|2015-04-01 00:00:00|2019-04-01|"No"|NA|"CDMX"|"MXN"
"74"|"Arrendamiento"|129|4866|57|"Mensual"|30832.5672297935|19341.4426449616|52791065.28|50373.1896551724|67505841.7174615|"Tabla Amort"|2015-04-01 00:00:00|2019-04-01|"No"|NA|"CDMX"|"MXN"
"75"|"Arrendamiento"|129|4881|50|"Mensual"|35838.3121978662|23594.7699306963|54254496|59323.8793103448|62497527.8939744|"Tabla Amort"|2015-04-01 00:00:00|2019-04-01|"No"|NA|"CDMX"|"MXN"
"76"|"Arrendamiento"|129|4883|43|"Mensual"|23628.979352687|22198.8153258487|39824838.72|50373.1896551724|47504880.395497|"Tabla Amort"|2015-04-01 00:00:00|2019-04-01|"No"|NA|"CDMX"|"MXN"
"77"|"Arrendamiento"|129|4884|49|"Mensual"|24610.7049519651|19059.0149475742|45381792.96|50373.1896551724|56071842.6343728|"Tabla Amort"|2015-04-01 00:00:00|2019-04-01|"No"|NA|"CDMX"|"MXN"
"78"|"Arrendamiento"|129|4885|47|"Mensual"|29011.9088438427|16344.7882121374|43529474.88|50373.1896551724|52268931.3954672|"Tabla Amort"|2015-04-01 00:00:00|2019-04-01|"No"|NA|"CDMX"|"MXN"
"79"|"Arrendamiento"|129|4886|39|"Mensual"|14692.988081145|23525.7735760272|36120202.56|50373.1896551724|42809535.7196862|"Tabla Amort"|2015-04-01 00:00:00|2019-04-01|"No"|NA|"CDMX"|"MXN"
"80"|"Arrendamiento"|128|4887|44|"Mensual"|27944.2815162727|16711.7337191942|40750997.76|50373.1896551724|52481094.8645391|"Tabla Amort"|2015-04-01 00:00:00|2019-04-01|"No"|NA|"CDMX"|"MXN"
"81"|"Arrendamiento"|128|4888|49|"Mensual"|15943.909502852|16519.8736098473|45381792.96|50373.1896551724|56979990.8159686|"Tabla Amort"|2015-04-01 00:00:00|2019-04-01|"No"|NA|"CDMX"|"MXN"
"82"|"Arrendamiento"|20|4633|36|"Mensual"|33419.4174311736|35144.6971069032|44530054.56|29357.275862069|57652782.7693808|"Tabla Amort"|2015-04-09 09:20:00|2018-04-16|"No"|NA|"CDMX"|"MXN"
"83"|"Arrendamiento"|130|5010|39|"Mensual"|8087.38723873452|7325.65195040048|13321966.32|59472.8448275862|17165485.4238746|"Tabla Amort"|2015-04-14 12:17:00|2018-04-16|"No"|NA|"CDMX"|"MXN"
"84"|"Arrendamiento"|127|4927|13|"Mensual"|8027.3615211057|23865.8277977105|3376184.76|7097.04310344828|3664033.86591104|"Tabla Amort"|2015-04-14 15:43:00|2016-04-16|"No"|NA|"CDMX"|"MXN"
"85"|"Arrendamiento"|341|4988|60|"Mensual"|10115.121885862|7597.77832657589|26038692|16054.9224137931|29619918.9029731|"Tabla Amort"|2015-04-15 12:40:00|2020-04-16|"No"|NA|"CDMX"|"MXN"
"86"|"Arrendamiento"|48|4663|69|"Mensual"|0|5610.28585533904|30461830.2|40783.6465517241|32389042.1999283|"Tabla Amort"|2015-04-16 00:00:00|2020-04-16|"No"|NA|"CDMX"|"MXN"
"87"|"Arrendamiento"|122|4701|14|"Mensual"|0|11616.4698510691|1991839.92|31379.3103448276|2296204.29656153|"Tabla Amort"|2015-04-16 00:00:00|2016-04-16|"No"|NA|"NUEVO LEON"|"MXN"
"88"|"Arrendamiento"|115|4841|49|"Mensual"|20666.0301507556|28581.5598308395|56551723.2|107400|73513955.4963539|"Tabla Amort"|2015-04-16 00:00:00|2019-04-16|"No"|NA|"QUINTANA ROO"|"MXN"
"89"|"Arrendamiento"|115|4842|52|"Mensual"|40095.5520942734|18399.8004720074|63087548.16|114112.5|75393186.8335846|"Tabla Amort"|2015-04-16 00:00:00|2019-04-16|"No"|NA|"QUINTANA ROO"|"MXN"
"90"|"Arrendamiento"|115|4847|43|"Mensual"|20431.3933346604|18274.1665228693|33304518.24|66453.75|41440941.6584894|"Tabla Amort"|2015-04-16 00:00:00|2019-04-16|"No"|NA|"QUINTANA ROO"|"MXN"
"91"|"Arrendamiento"|115|4849|48|"Mensual"|26798.6594738559|19002.4566485827|36870612.48|65782.5|46047089.306731|"Tabla Amort"|2015-04-16 00:00:00|2019-04-16|"No"|NA|"QUINTANA ROO"|"USD"
"92"|"Arrendamiento"|115|4854|41|"Mensual"|30264.4843963439|20047.6326079723|36626034.72|77193.75|47305155.2715224|"Tabla Amort"|2015-04-16 00:00:00|2019-04-16|"No"|NA|"QUINTANA ROO"|"USD"
"93"|"Arrendamiento"|115|4855|57|"Mensual"|14969.9367071071|16618.638684958|53022749.76|78536.25|54893466.5841596|"Tabla Amort"|2015-04-16 00:00:00|2019-04-16|"No"|NA|"QUINTANA ROO"|"USD"
"94"|"Arrendamiento"|115|4856|39|"Mensual"|13074.1635832714|15866.7228658959|36278723.52|78536.25|41449983.5096674|"Tabla Amort"|2015-04-16 00:00:00|2019-04-16|"No"|NA|"QUINTANA ROO"|"USD"
"95"|"Arrendamiento"|115|4857|47|"Mensual"|23164.0075446156|13627.9309868974|43720512.96|78536.25|54475014.7779469|"Tabla Amort"|2015-04-16 00:00:00|2019-04-16|"No"|NA|"QUINTANA ROO"|"USD"
"96"|"Arrendamiento"|115|4859|41|"Mensual"|6744.05700418527|12060.5665105747|21809749.92|35410.75|26081443.2735986|"Tabla Amort"|2015-04-16 00:00:00|2019-04-16|"No"|NA|"QUINTANA ROO"|"USD"
"97"|"Arrendamiento"|115|4860|47|"Mensual"|8877.79117566353|12930.8361090046|25001420.64|35410.75|31751618.9335737|"Tabla Amort"|2015-04-16 00:00:00|2019-04-16|"No"|NA|"QUINTANA ROO"|"USD"
"98"|"Arrendamiento"|109|4937|56|"Mensual"|20447.5651533846|28146.3704513615|63979910.4|99258.6206896552|79767415.1255738|"Tabla Amort"|2015-04-16 00:00:00|2019-04-16|"No"|NA|"NUEVO LEON"|"MXN"
"99"|"Arrendamiento"|24|4906|30|"Mensual"|11783.5451096313|11517.7337410295|17163964.8|100637.931034483|18265052.4986302|"Tabla Amort"|2015-04-20 09:54:00|2018-04-16|"No"|NA|"CDMX"|"MXN"
"100"|"Arrendamiento"|21|4976|51|"Mensual"|16970.9577307862|13923.4018432547|30136177.44|152327.586206897|34246819.796234|"Tabla Amort"|2015-04-21 16:46:00|2019-04-16|"No"|NA|"CDMX"|"MXN"
"101"|"Arrendamiento"|131|5022|50|"Mensual"|9312.88261554889|6546.58188974051|13565664|30965.5172413793|15705931.506491|"Tabla Amort"|2015-04-21 16:46:00|2019-04-16|"No"|NA|"CDMX"|"MXN"
"102"|"Arrendamiento"|130|5074|30|"Mensual"|15450.4787649778|12468.1879253615|16971433.2|103426.724137931|20139784.9352012|"Tabla Amort"|2015-04-22 18:01:00|2018-05-01|"No"|NA|"CDMX"|"MXN"
"103"|"Arrendamiento"|132|5081|33|"Mensual"|71860.700160063|56522.5751541668|62659182.96|39920.0517241379|66558611.9188838|"Tabla Amort"|2015-04-24 12:53:00|2018-05-01|"No"|NA|"ESTADO DE MEXICO"|"MXN"
"104"|"Arrendamiento"|132|5082|42|"Mensual"|47871.8829120722|61337.0426035895|80869501.44|40481.6293103448|81440202.1980266|"Tabla Amort"|2015-04-24 12:54:00|2018-05-01|"No"|NA|"ESTADO DE MEXICO"|"MXN"
"105"|"Arrendamiento"|132|5083|42|"Mensual"|58015.7673368614|74046.2739769892|87779870.64|43942.0517241379|103713923.72569|"Tabla Amort"|2015-04-24 12:55:00|2018-05-01|"No"|NA|"ESTADO DE MEXICO"|"MXN"
"106"|"Arrendamiento"|132|5084|33|"Mensual"|51553.1042032769|56627.0623422718|62659182.96|39920.0517241379|71533508.792977|"Tabla Amort"|2015-04-24 12:55:00|2018-05-01|"No"|NA|"ESTADO DE MEXICO"|"MXN"
"107"|"Arrendamiento"|132|5085|36|"Mensual"|83212.5524485643|79738.5549450848|135737622.72|79285.9137931035|156115355.877658|"Tabla Amort"|2015-04-24 12:56:00|2018-05-01|"No"|NA|"ESTADO DE MEXICO"|"MXN"
"108"|"Arrendamiento"|132|5086|33|"Mensual"|51597.6745250345|94361.6001900147|97160639.4|61908.8189655172|121829773.431813|"Tabla Amort"|2015-04-24 12:56:00|2018-05-01|"No"|NA|"ESTADO DE MEXICO"|"MXN"
"109"|"Arrendamiento"|133|5098|30|"Mensual"|385308.287444184|303666.361546946|283353552|1413793.10344828|345356556.901275|"Tabla Amort"|2015-04-28 11:54:00|2018-05-01|"No"|NA|"ESTADO DE MEXICO"|"MXN"
"110"|"Arrendamiento"|119|5024|13|"Mensual"|0|37923.3968456203|6711121.56|73199.3017241379|8259042.33717465|"Tabla Amort"|2015-04-28 17:29:00|2016-05-01|"No"|NA|"QUERETARO"|"MXN"
"111"|"Arrendamiento"|134|5095|55|"Mensual"|24508.1119409856|18581.5258658505|68528565.6|158531.034482759|71872052.8957474|"Tabla Amort"|2015-04-29 10:17:00|2019-05-16|"No"|NA|"CHIHUAHUA"|"MXN"
"112"|"Arrendamiento"|127|4962|49|"Mensual"|78329.4364002846|106385.465010089|210919880.64|141369.293103448|211607030.6824|"Tabla Amort"|2015-04-30 14:19:00|2019-05-01|"No"|NA|"CDMX"|"MXN"
"113"|"Arrendamiento"|85|4971|39|"Mensual"|14546.7563000547|13719.1033383363|22464842.4|37583.8793103448|23162419.2468989|"Tabla Amort"|2015-04-30 17:13:00|2019-04-16|"No"|NA|"CAMPECHE"|"MXN"
"114"|"Arrendamiento"|85|4974|49|"Mensual"|9584.1230159418|7468.19161554707|25055503.2|33021.8103448276|26767201.2873681|"Tabla Amort"|2015-04-30 17:13:00|2019-04-16|"No"|NA|"CAMPECHE"|"MXN"
"115"|"Arrendamiento"|108|5090|46|"Mensual"|7171.42011965299|7861.32800987434|17500078.08|24705.4310344828|20534894.8000413|"Tabla Amort"|2015-04-30 17:13:00|2019-05-01|"No"|NA|"CDMX"|"MXN"
"116"|"Arrendamiento"|108|5059|41|"Mensual"|10441.3931333956|13455.6258745405|24863382.36|43641.6379310345|26755055.6541281|"Tabla Amort"|2015-04-30 17:14:00|2018-05-01|"No"|NA|"CDMX"|"MXN"
"117"|"Arrendamiento"|108|5107|22|"Mensual"|339.80816975262|953.386144106113|489192|922.5|598383.612640679|"Tabla Amort"|2015-04-30 18:23:00|2017-05-01|"No"|NA|"CDMX"|"MXN"
